"","UNIQID","fguild_3_sor","fguild_4_sor","fguild_7_sor","count_prey","taxa_PRED","family_PRED","Pred","pred.size.class","common_PRED","midS","Lm","midL","Loo","N.recs","N.obs","N.guts","Size","Acanthocephala","Annelida","Arthropoda","Ascomycota","Brachiopoda","Bryozoa","Cephalorhyncha","Chaetognatha","Charophyta","Chlorophyta","Chordata","Ciliophora","Cnidaria","Ctenophora","Echinodermata","Entoprocta","Foraminifera","Haptophyta","Hemichordata","Magnoliophyta","Mollusca","Myzozoa","Nematoda","Nemertea","Ochrophyta","Phoronida","Platyhelminthes","Porifera","Rhodophyta","Sipuncula","Tracheophyta","F.guild"
"1","AMO.L","1","1","1",10,"Ammodytes","Ammodytidae","AMO","L","Sandeel",8.04741028552625,16.0948205710525,21.1328685376382,26.1709165042239,96,960,255,26.1709165042239,0,7.69230769230769,46.1538461538462,0,0,0,0,0,0,0,38.4615384615385,0,0,0,0,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,"GP"
"2","AMO.Lv","1","1","2",11,"Ammodytes","Ammodytidae","AMO","Lv","Sandeel",8.04741028552625,16.0948205710525,21.1328685376382,26.1709165042239,38,679,411,3,0,6.25,62.5,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,6.25,6.25,0,0,6.25,0,0,0,0,0,0,"ZP"
"3","AMO.M","1","1","1",21,"Ammodytes","Ammodytidae","AMO","M","Sandeel",8.04741028552625,16.0948205710525,21.1328685376382,26.1709165042239,75,46684,298,18.6138445543454,0,6.89655172413793,55.1724137931034,0,0,0,0,0,0,0,31.0344827586207,0,0,0,0,0,0,0,0,0,3.44827586206897,0,3.44827586206897,0,0,0,0,0,0,0,0,"GP"
"4","AMO.Sm","1","1","1",19,"Ammodytes","Ammodytidae","AMO","Sm","Sandeel",8.04741028552625,16.0948205710525,21.1328685376382,26.1709165042239,91,12454,164,12.0711154282894,0,6.89655172413793,51.7241379310345,0,0,0,0,3.44827586206897,0,0,24.1379310344828,0,0,0,3.44827586206897,0,0,0,0,0,6.89655172413793,0,3.44827586206897,0,0,0,0,0,0,0,0,"GP"
"5","ANE.L","1","1","1",15,"Engraulis encrasicolus","Engraulidae","ANE","L","European anchovy",5.1121100170014,10.2242200340028,14.2160304433772,18.2078408527517,39,2889,39,18.2078408527517,0,0,61.1111111111111,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,0,0,"GP"
"6","BIB.L","2","2","3",21,"Trisopterus luscus","Gadidae","BIB","L","Whiting-pout (bib)",10.0304312327128,20.0608624654256,29.8090165452996,39.5571706251737,66,1540,319,39.5571706251737,0,4.44444444444444,55.5555555555556,0,0,0,0,0,0,0,17.7777777777778,0,0,0,0,2.22222222222222,0,0,0,0,13.3333333333333,0,2.22222222222222,2.22222222222222,0,0,0,2.22222222222222,0,0,0,"ZB"
"7","BIB.M","2","2","3",21,"Trisopterus luscus","Gadidae","BIB","M","Whiting-pout (bib)",10.0304312327128,20.0608624654256,29.8090165452996,39.5571706251737,113,2357,442,24.9349395053626,0,9.43396226415094,56.6037735849057,0,0,0,0,0,0,0,15.0943396226415,0,1.88679245283019,0,1.88679245283019,1.88679245283019,0,0,0,0,11.3207547169811,0,1.88679245283019,0,0,0,0,0,0,0,0,"ZB"
"8","BIB.S","3","3","4",21,"Trisopterus luscus","Gadidae","BIB","S","Whiting-pout (bib)",10.0304312327128,20.0608624654256,29.8090165452996,39.5571706251737,24,1800,405,6.5152156163564,0,8.33333333333333,66.6666666666667,0,0,0,0,0,0,0,12.5,0,0,2.08333333333333,0,2.08333333333333,0,0,0,0,6.25,0,2.08333333333333,0,0,0,0,0,0,0,0,"CB"
"9","BIB.Sm","2","2","3",21,"Trisopterus luscus","Gadidae","BIB","Sm","Whiting-pout (bib)",10.0304312327128,20.0608624654256,29.8090165452996,39.5571706251737,103,4026,920,15.0456468490692,0,10.9090909090909,50.9090909090909,0,0,0,0,0,0,0,18.1818181818182,0,0,1.81818181818182,1.81818181818182,1.81818181818182,0,0,0,0,10.9090909090909,0,3.63636363636364,0,0,0,0,0,0,0,0,"ZB"
"10","BLL.L","2","4","5",21,"Scophthalmus rhombus","Scophthalmidae","BLL","L","Brill",9.65045316848535,19.3009063369707,31.2423478355611,43.1837893341516,125,637,427,43.1837893341516,0,4,20,0,0,0,0,0,0,0,56,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,"PI"
